datetime,power,capacity,spot_price_prediction
2021-07-02 23:00:00,0.0,0.0,84.29031976496648
2021-07-02 23:30:00,0.0,0.0,86.27679121500213
2021-07-03 00:00:00,0.0,0.0,85.78219126791551
2021-07-03 00:30:00,0.0,0.0,78.71794720727871
2021-07-03 01:00:00,0.0,0.0,72.78864420667091
2021-07-03 01:30:00,0.0,0.0,64.08137651468721
2021-07-03 02:00:00,0.0,0.0,58.484983735742205
2021-07-03 02:30:00,0.0,0.0,56.79190467804638
2021-07-03 03:00:00,-88.8888888888889,0.0,50.76172566066832
2021-07-03 03:30:00,-300.0,40.0,49.57056460943218
2021-07-03 04:00:00,-300.0,175.0,48.423595197842985
2021-07-03 04:30:00,-300.0,310.0,49.4225251441425
2021-07-03 05:00:00,-300.0,445.0,47.71415441079962
2021-07-03 05:30:00,0.0,580.0,54.42587100557479
2021-07-03 06:00:00,0.0,580.0,56.99979770399517
2021-07-03 06:30:00,0.0,580.0,60.087593316046295
2021-07-03 07:00:00,0.0,580.0,65.05009029339078
2021-07-03 07:30:00,0.0,580.0,70.19613474652134
2021-07-03 08:00:00,0.0,580.0,77.24808099553849
2021-07-03 08:30:00,0.0,580.0,81.81174303603474
2021-07-03 09:00:00,0.0,580.0,85.39208621821153
2021-07-03 09:30:00,0.0,580.0,86.1901968840972
2021-07-03 10:00:00,0.0,580.0,82.59487288439654
2021-07-03 10:30:00,0.0,580.0,81.92827955442458
2021-07-03 11:00:00,0.0,580.0,80.58472488027807
2021-07-03 11:30:00,0.0,580.0,75.6886189860337
2021-07-03 12:00:00,0.0,580.0,76.09872230625821
2021-07-03 12:30:00,0.0,580.0,71.83893721078974
2021-07-03 13:00:00,0.0,580.0,69.84951864029853
2021-07-03 13:30:00,0.0,580.0,68.98317140310192
2021-07-03 14:00:00,0.0,580.0,71.02600299446924
2021-07-03 14:30:00,0.0,580.0,74.49619651301981
2021-07-03 15:00:00,0.0,580.0,79.25051736020154
2021-07-03 15:30:00,0.0,580.0,86.20867515461595
2021-07-03 16:00:00,0.0,580.0,92.63310644657474
2021-07-03 16:30:00,0.0,580.0,97.95896598309136
2021-07-03 17:00:00,0.0,580.0,105.9028099829424
2021-07-03 17:30:00,1.13686837721616e-13,580.0,115.13129326615466
2021-07-03 18:00:00,300.0,580.0,123.09230677280348
2021-07-03 18:30:00,300.0,430.0,123.4553627422755
2021-07-03 19:00:00,300.0,280.0,118.7139586749415
2021-07-03 19:30:00,260.0,130.0,115.60103514701022
2021-07-03 20:00:00,0.0,0.0,110.8039511383704
2021-07-03 20:30:00,0.0,0.0,105.4604195365669
2021-07-03 21:00:00,0.0,0.0,100.99194983098818
2021-07-03 21:30:00,0.0,0.0,96.50645526991184
2021-07-03 22:00:00,0.0,0.0,91.26320986291006
2021-07-03 22:30:00,0.0,0.0,85.10045670996742
2021-07-03 23:00:00,0.0,0.0,81.2166851905601
2021-07-03 23:30:00,0.0,0.0,82.38206149582814
2021-07-04 00:00:00,0.0,0.0,65.12016680457737
2021-07-04 00:30:00,0.0,0.0,62.286392636545855
2021-07-04 01:00:00,0.0,0.0,53.47298647676976
2021-07-04 01:30:00,0.0,0.0,47.683812555386325
2021-07-04 02:00:00,0.0,0.0,41.47517133748464
2021-07-04 02:30:00,0.0,0.0,35.25081194360216
